,creation_date,Status,SRN,Type of SR,Street Address,Zip,X-Coordinate,Y-Coordinate,Ward,Police_District,Community_Area,Latitude,Longitude,number_of_black_carts_delivered
70,2018-12-17T00:00:00.000,Open,18-03384735,Garbage Cart Black Maintenance/Replacement,1306 N SPRINGFIELD AVE,60651,1150141.885,1908419.86,26,25,23,41.90468621,-87.72407669,0
71,2018-12-17T00:00:00.000,Open,18-03380820,Garbage Cart Black Maintenance/Replacement,4733 S PRAIRIE AVE,60615,1178838.889,1873699.404,3,2,38,41.80834325,-87.61941972,0
72,2018-12-17T00:00:00.000,Open,18-03381505,Garbage Cart Black Maintenance/Replacement,6543 N KEDZIE AVE,60645,1153852.907,1943206.03,50,24,2,42.00047614,-87.70921993,0
73,2018-12-17T00:00:00.000,Open,18-03382243,Garbage Cart Black Maintenance/Replacement,6344 N KEDZIE AVE,60659,1153875.163,1941899.45,50,24,2,41.99691633,-87.70948029,0
74,2018-12-17T00:00:00.000,Open,18-03380903,Garbage Cart Black Maintenance/Replacement,4720 N TALMAN AVE,60625,1157853.17,1931249.873,40,19,4,41.96737288,-87.69513081,0
75,2018-12-17T00:00:00.000,Open,18-03383826,Garbage Cart Black Maintenance/Replacement,5254 S WASHTENAW AVE,60632,1159263.406,1869711.716,14,9,63,41.79758362,-87.69161239,0
76,2018-12-17T00:00:00.000,Open,18-03382803,Garbage Cart Black Maintenance/Replacement,4316 W LEXINGTON ST,60624,1147727.851,1896365.85,24,11,26,41.8716873,-87.73344199,0
77,2018-12-17T00:00:00.000,Open,18-03384403,Garbage Cart Black Maintenance/Replacement,7629 S CARPENTER ST,60620,1170635.897,1854227.468,17,6,71,41.75513275,-87.65007313,0
78,2018-12-17T00:00:00.000,Open,18-03384589,Garbage Cart Black Maintenance/Replacement,5216 S WELLS ST,60609,1175486.813,1870389.06,3,9,37,41.79947034,-87.63210974,0
79,2018-12-17T00:00:00.000,Open,18-03382429,Garbage Cart Black Maintenance/Replacement,9956 S WASHTENAW AVE,60655,1160114.047,1838507.211,19,22,72,41.71191665,-87.68934567,0
